case_id,country,date,country_region,court_name,court_type,age,gender,ethnicity,income_level,annual_income_gbp,crime_type,severity_category,prior_cases,legal_representation,location_type,bail_amount_gbp,remand_days,bail_granted
CASE_5000,UK,2022-08-23,England,Westminster Magistrates' Court,Magistrates Court,51,Female,White British,Medium,32780,Fraud,Medium,4,No,Rural,11299,166,0
CASE_5001,UK,2023-09-18,England,Birmingham Magistrates' Court,Magistrates Court,23,Male,White British,Medium,28400,Fraud,Low,3,Yes,Urban,2204,61,1
CASE_5002,UK,2023-10-30,England,Westminster Magistrates' Court,Magistrates Court,34,Female,White British,High,261884,Theft,Medium,2,No,Rural,4783,113,1
CASE_5003,UK,2023-12-11,England,Birmingham Magistrates' Court,Magistrates Court,34,Female,Other,Low,9514,Assault,Low,1,No,Urban,1517,87,1
CASE_5004,UK,2023-01-31,Scotland,Glasgow Sheriff Court,Magistrates Court,22,Female,White British,High,270181,Theft,High,2,Yes,Urban,22832,1,0
CASE_5005,UK,2023-02-28,England,Birmingham Magistrates' Court,Magistrates Court,47,Male,Black British,High,165373,Fraud,High,3,Yes,Urban,44344,97,0
CASE_5006,UK,2022-05-08,England,Westminster Magistrates' Court,Magistrates Court,33,Female,Asian British,Low,10084,Assault,High,3,No,Rural,59014,199,0
CASE_5007,UK,2023-02-25,Scotland,Glasgow Sheriff Court,Magistrates Court,31,Female,Black British,Low,13632,WhiteCollar,Medium,3,No,Rural,15853,285,1
CASE_5008,UK,2022-08-15,England,Birmingham Magistrates' Court,Magistrates Court,44,Male,Other,Medium,30876,WhiteCollar,High,3,Yes,Urban,18446,16,0
CASE_5009,UK,2023-01-14,England,Manchester Crown Court,Crown Court,32,Female,Mixed,Medium,36464,Theft,High,4,Yes,Rural,46460,19,0
CASE_5010,UK,2022-02-28,England,Birmingham Magistrates' Court,Magistrates Court,36,Male,Mixed,High,289553,Theft,Low,5,Yes,Rural,1790,179,1
CASE_5011,UK,2022-03-06,England,Westminster Magistrates' Court,Magistrates Court,35,Male,White British,Medium,33663,Theft,Medium,0,No,Rural,13171,74,1
CASE_5012,UK,2022-05-15,Scotland,Glasgow Sheriff Court,Magistrates Court,48,Male,Asian British,Low,15574,Theft,Medium,5,No,Urban,7571,66,0
CASE_5013,UK,2023-01-04,Scotland,Glasgow Sheriff Court,Magistrates Court,49,Female,Mixed,Low,12866,Assault,High,4,Yes,Urban,60767,98,0
CASE_5014,UK,2023-09-08,England,Birmingham Magistrates' Court,Magistrates Court,22,Male,Mixed,High,277501,WhiteCollar,High,0,Yes,Urban,60859,100,1
CASE_5015,UK,2023-01-13,Scotland,Glasgow Sheriff Court,Magistrates Court,19,Female,Black British,High,272498,WhiteCollar,Medium,2,Yes,Urban,11718,78,1
CASE_5016,UK,2023-06-21,Scotland,Glasgow Sheriff Court,Magistrates Court,45,Female,Mixed,Medium,25579,Assault,Low,1,Yes,Urban,1862,84,1
CASE_5017,UK,2022-11-07,Wales,Cardiff Crown Court,Crown Court,31,Female,Black British,High,195878,Assault,High,4,No,Urban,44821,48,0
CASE_5018,UK,2023-04-19,England,Manchester Crown Court,Crown Court,18,Female,Other,Low,9315,Fraud,High,2,Yes,Rural,33324,233,0
CASE_5019,UK,2022-01-04,England,Birmingham Magistrates' Court,Magistrates Court,36,Male,Other,Low,11472,Assault,Medium,1,No,Rural,8361,164,1
CASE_5020,UK,2022-11-23,Scotland,Glasgow Sheriff Court,Magistrates Court,20,Female,White British,High,195280,WhiteCollar,Medium,1,Yes,Rural,3196,7,1
CASE_5021,UK,2022-09-03,Scotland,Glasgow Sheriff Court,Magistrates Court,43,Male,Black British,High,225321,Assault,Low,3,No,Rural,765,83,1
CASE_5022,UK,2022-05-10,Scotland,Glasgow Sheriff Court,Magistrates Court,56,Male,Other,Medium,44840,Theft,Medium,3,Yes,Urban,13251,39,1
CASE_5023,UK,2022-10-26,Scotland,Glasgow Sheriff Court,Magistrates Court,51,Male,Asian British,High,239609,Fraud,Medium,1,Yes,Rural,10886,194,1
CASE_5024,UK,2023-12-06,England,Birmingham Magistrates' Court,Magistrates Court,61,Female,White British,Low,16680,Fraud,Medium,5,No,Urban,5188,191,0
CASE_5025,UK,2023-02-24,England,Westminster Magistrates' Court,Magistrates Court,23,Male,Black British,Medium,31042,Fraud,Medium,5,Yes,Rural,7155,10,1
CASE_5026,UK,2023-03-09,Scotland,Glasgow Sheriff Court,Magistrates Court,47,Female,Asian British,Medium,22774,Theft,Low,3,Yes,Urban,2433,80,1
CASE_5027,UK,2022-06-02,Wales,Cardiff Crown Court,Crown Court,39,Male,Mixed,Medium,43398,Assault,Low,5,Yes,Urban,1159,64,1
CASE_5028,UK,2023-04-06,England,Birmingham Magistrates' Court,Magistrates Court,22,Male,Asian British,Medium,29500,WhiteCollar,Low,3,No,Rural,1905,79,1
CASE_5029,UK,2022-06-06,England,Manchester Crown Court,Crown Court,24,Female,White British,Low,8571,Theft,Low,0,Yes,Rural,1886,213,1
CASE_5030,UK,2023-10-01,Wales,Cardiff Crown Court,Crown Court,52,Male,White British,Low,11521,WhiteCollar,Medium,2,Yes,Urban,6705,212,0
CASE_5031,UK,2023-11-02,England,Birmingham Magistrates' Court,Magistrates Court,70,Male,Mixed,Low,19572,Assault,High,5,No,Urban,33751,207,0
CASE_5032,UK,2022-09-28,England,Birmingham Magistrates' Court,Magistrates Court,46,Female,Asian British,High,273100,Fraud,Medium,4,Yes,Urban,12721,185,1
CASE_5033,UK,2024-01-27,England,Manchester Crown Court,Crown Court,64,Female,Mixed,Low,15912,WhiteCollar,Low,4,No,Rural,2210,108,1
CASE_5034,UK,2022-04-26,Scotland,Glasgow Sheriff Court,Magistrates Court,19,Male,Mixed,High,84679,Theft,Low,5,Yes,Rural,682,5,1
CASE_5035,UK,2023-09-10,England,Westminster Magistrates' Court,Magistrates Court,57,Female,Mixed,Medium,52496,WhiteCollar,High,4,No,Rural,42289,199,0
CASE_5036,UK,2023-01-10,England,Birmingham Magistrates' Court,Magistrates Court,59,Male,Other,High,184976,Fraud,Low,3,Yes,Rural,1420,137,1
CASE_5037,UK,2023-08-29,England,Westminster Magistrates' Court,Magistrates Court,62,Female,Mixed,High,102310,WhiteCollar,High,2,No,Rural,68228,90,0
CASE_5038,UK,2023-03-17,Wales,Cardiff Crown Court,Crown Court,63,Female,Black British,Low,11034,WhiteCollar,Low,1,Yes,Urban,1581,93,1
CASE_5039,UK,2022-12-18,Scotland,Glasgow Sheriff Court,Magistrates Court,51,Male,Mixed,High,243246,WhiteCollar,Medium,0,No,Urban,4850,68,1
CASE_5040,UK,2022-12-11,Wales,Cardiff Crown Court,Crown Court,40,Female,Black British,Medium,32962,WhiteCollar,Medium,3,Yes,Rural,3663,85,0
CASE_5041,UK,2022-02-06,England,Birmingham Magistrates' Court,Magistrates Court,21,Male,Black British,High,253925,WhiteCollar,Low,2,Yes,Urban,496,77,1
CASE_5042,UK,2023-10-17,Scotland,Glasgow Sheriff Court,Magistrates Court,49,Female,White British,High,266751,Fraud,Medium,4,No,Rural,9976,175,0
CASE_5043,UK,2022-04-23,England,Birmingham Magistrates' Court,Magistrates Court,30,Female,Black British,Medium,23726,Fraud,Medium,4,No,Urban,16205,103,0
CASE_5044,UK,2023-06-16,Wales,Cardiff Crown Court,Crown Court,36,Male,Other,High,192727,Fraud,Medium,1,No,Rural,10507,193,1
CASE_5045,UK,2022-10-28,England,Manchester Crown Court,Crown Court,50,Male,Mixed,High,123920,Fraud,Medium,2,No,Rural,5130,175,1
CASE_5046,UK,2023-01-29,England,Birmingham Magistrates' Court,Magistrates Court,64,Male,Other,Low,9277,Theft,Medium,3,No,Urban,14065,200,0
CASE_5047,UK,2022-12-13,England,Westminster Magistrates' Court,Magistrates Court,70,Female,Asian British,High,226102,WhiteCollar,Medium,0,Yes,Rural,7651,134,1
CASE_5048,UK,2023-11-23,England,Westminster Magistrates' Court,Magistrates Court,32,Male,White British,Low,11616,Theft,High,5,Yes,Urban,43926,172,0
CASE_5049,UK,2022-02-23,England,Birmingham Magistrates' Court,Magistrates Court,43,Female,Black British,Low,13981,Fraud,Medium,4,No,Urban,16339,283,0
CASE_5050,UK,2023-02-28,England,Birmingham Magistrates' Court,Magistrates Court,58,Female,Black British,Medium,32271,Assault,Low,3,Yes,Rural,2934,79,1
CASE_5051,UK,2022-01-02,Wales,Cardiff Crown Court,Crown Court,57,Female,Black British,Medium,35804,Theft,Low,5,No,Rural,1587,144,1
CASE_5052,UK,2023-09-11,England,Westminster Magistrates' Court,Magistrates Court,62,Female,Black British,High,239666,Theft,Medium,1,Yes,Rural,3203,24,1
CASE_5053,UK,2023-03-19,England,Manchester Crown Court,Crown Court,52,Female,Black British,Low,12573,Assault,High,3,Yes,Rural,19194,54,1
CASE_5054,UK,2022-03-22,Wales,Cardiff Crown Court,Crown Court,43,Female,Other,Low,16964,Fraud,High,3,No,Rural,43107,228,0
CASE_5055,UK,2023-11-21,England,Birmingham Magistrates' Court,Magistrates Court,54,Female,Asian British,Low,16509,Assault,Low,2,Yes,Rural,1162,170,1
CASE_5056,UK,2023-06-12,Wales,Cardiff Crown Court,Crown Court,48,Male,Mixed,Low,17821,Fraud,High,1,No,Urban,51678,203,0
CASE_5057,UK,2023-07-01,England,Manchester Crown Court,Crown Court,33,Male,Other,High,199091,Theft,Medium,0,Yes,Urban,8791,94,1
CASE_5058,UK,2023-06-01,England,Westminster Magistrates' Court,Magistrates Court,33,Male,Other,Low,12932,Theft,High,1,Yes,Rural,52692,147,1
CASE_5059,UK,2022-04-07,Wales,Cardiff Crown Court,Crown Court,18,Female,Mixed,Medium,51297,Fraud,High,1,Yes,Urban,52620,36,0
CASE_5060,UK,2022-05-19,Wales,Cardiff Crown Court,Crown Court,63,Female,Other,Medium,35251,WhiteCollar,Medium,3,Yes,Urban,8200,106,0
