case_id,country,date,state,court_name,age,gender,race_ethnicity,income_level,annual_income_usd,crime_type,severity_category,prior_cases,legal_representation,location_type,bail_amount_usd,pretrial_detention_days,bail_granted
CASE_4000,USA,2022-06-22,California,Superior Court of California,18,Male,Asian,Medium,56070,Assault,High,3,Yes,Rural,54313,1,0
CASE_4001,USA,2022-05-24,California,Superior Court of California,47,Female,Black,High,336571,WhiteCollar,Medium,5,No,Urban,24193,195,0
CASE_4002,USA,2023-03-09,Illinois,Cook County Circuit Court,18,Female,Asian,High,295508,Theft,Low,2,No,Rural,2268,122,1
CASE_4003,USA,2024-02-27,Texas,Harris County District Court,49,Male,Native American,Low,15818,WhiteCollar,Low,3,Yes,Urban,4734,428,1
CASE_4004,USA,2023-02-06,New York,New York City Criminal Court,26,Female,Black,Low,16055,Fraud,Medium,3,Yes,Urban,31016,330,1
CASE_4005,USA,2024-01-10,Illinois,Cook County Circuit Court,51,Male,White,High,288568,Theft,Low,2,No,Urban,559,251,1
CASE_4006,USA,2022-07-03,Illinois,Cook County Circuit Court,31,Female,Asian,Medium,87342,Fraud,Low,5,Yes,Urban,2522,111,1
CASE_4007,USA,2022-04-05,California,Superior Court of California,57,Male,Asian,Low,25543,Theft,Low,4,No,Urban,2192,209,1
CASE_4008,USA,2023-10-30,California,Superior Court of California,48,Female,Black,High,161620,Fraud,Medium,2,Yes,Urban,13870,382,1
CASE_4009,USA,2022-05-03,California,Superior Court of California,67,Male,Native American,Low,17770,WhiteCollar,Medium,3,Yes,Rural,10327,139,1
CASE_4010,USA,2023-09-24,California,Superior Court of California,54,Male,Black,High,118717,WhiteCollar,Medium,0,Yes,Urban,24681,154,1
CASE_4011,USA,2023-12-12,New York,New York City Criminal Court,41,Male,Black,High,197279,WhiteCollar,Medium,0,No,Rural,9816,156,1
CASE_4012,USA,2022-01-03,California,Superior Court of California,32,Male,Asian,High,116712,Assault,Low,4,Yes,Rural,3378,84,0
CASE_4013,USA,2023-03-21,Arizona,Maricopa County Superior Court,48,Female,Native American,Medium,80044,Fraud,High,1,No,Rural,89229,390,0
CASE_4014,USA,2022-04-24,Arizona,Maricopa County Superior Court,47,Female,Black,High,254230,Theft,Medium,5,Yes,Urban,14288,39,0
CASE_4015,USA,2023-12-22,Texas,Harris County District Court,60,Female,Native American,High,484951,Fraud,Medium,2,No,Urban,8134,182,1
CASE_4016,USA,2022-06-23,Arizona,Maricopa County Superior Court,36,Male,Black,Low,26286,Assault,High,1,No,Rural,48469,487,0
CASE_4017,USA,2023-01-24,Texas,Harris County District Court,50,Male,Black,High,139280,Fraud,High,3,Yes,Rural,100067,125,0
CASE_4018,USA,2023-04-12,Arizona,Maricopa County Superior Court,54,Female,Black,High,320843,Assault,Low,4,No,Rural,1607,126,0
CASE_4019,USA,2022-01-13,California,Superior Court of California,63,Male,Asian,Low,19174,Fraud,High,4,Yes,Rural,85623,158,0
CASE_4020,USA,2023-12-31,New York,New York City Criminal Court,18,Female,Asian,Low,30197,Theft,High,2,Yes,Urban,90155,219,1
CASE_4021,USA,2023-02-25,Texas,Harris County District Court,39,Male,Native American,Low,17037,Fraud,High,5,No,Rural,64477,197,0
CASE_4022,USA,2022-03-05,New York,New York City Criminal Court,44,Male,Hispanic,Low,17043,Theft,High,1,No,Rural,164860,342,0
CASE_4023,USA,2023-10-26,Texas,Harris County District Court,20,Male,Black,Medium,44414,Assault,Low,3,Yes,Rural,4894,19,1
CASE_4024,USA,2023-03-29,California,Superior Court of California,20,Male,Black,Medium,84276,Fraud,Medium,0,Yes,Urban,22986,236,0
CASE_4025,USA,2022-05-25,Texas,Harris County District Court,25,Female,White,High,115183,Fraud,High,3,No,Urban,42496,204,0
CASE_4026,USA,2022-05-16,New York,New York City Criminal Court,18,Male,Black,High,446255,Fraud,Low,5,No,Rural,1326,133,1
CASE_4027,USA,2023-05-22,Texas,Harris County District Court,70,Male,Black,Low,20743,Fraud,Low,2,Yes,Rural,4694,68,1
CASE_4028,USA,2022-01-25,New York,New York City Criminal Court,21,Male,Black,Medium,77533,Fraud,Low,5,No,Rural,5420,182,1
CASE_4029,USA,2022-04-30,California,Superior Court of California,56,Male,Native American,Low,27334,Assault,High,1,Yes,Rural,147968,217,0
CASE_4030,USA,2022-03-15,Arizona,Maricopa County Superior Court,31,Female,White,Low,16929,WhiteCollar,High,2,No,Rural,90380,455,0
CASE_4031,USA,2022-01-20,Arizona,Maricopa County Superior Court,48,Male,White,Medium,70822,Fraud,Medium,5,No,Rural,6107,217,1
CASE_4032,USA,2024-02-10,Texas,Harris County District Court,45,Female,Native American,High,141628,Assault,High,5,No,Rural,121914,246,0
CASE_4033,USA,2022-01-30,Arizona,Maricopa County Superior Court,55,Male,Native American,High,109372,Fraud,Low,2,Yes,Rural,4656,333,1
CASE_4034,USA,2023-10-15,Arizona,Maricopa County Superior Court,61,Female,White,Low,24721,Fraud,Low,1,No,Rural,4971,380,1
CASE_4035,USA,2023-08-13,New York,New York City Criminal Court,41,Female,Hispanic,High,449820,WhiteCollar,Low,5,Yes,Urban,4593,93,1
CASE_4036,USA,2022-09-21,Illinois,Cook County Circuit Court,50,Female,Black,High,323661,Assault,Low,3,No,Urban,672,263,1
CASE_4037,USA,2023-03-04,California,Superior Court of California,44,Male,Native American,Low,19045,Fraud,Medium,0,No,Urban,27674,238,1
CASE_4038,USA,2022-03-28,Illinois,Cook County Circuit Court,31,Female,Native American,Low,32056,Theft,High,3,No,Urban,118911,275,0
CASE_4039,USA,2022-12-29,New York,New York City Criminal Court,58,Male,Black,Low,19389,WhiteCollar,High,1,No,Rural,55457,490,0
CASE_4040,USA,2023-05-22,Arizona,Maricopa County Superior Court,30,Female,Black,Medium,70951,Assault,Low,4,No,Rural,3868,382,0
CASE_4041,USA,2023-01-22,New York,New York City Criminal Court,57,Male,White,Low,32222,Assault,Low,4,Yes,Rural,2526,193,0
CASE_4042,USA,2023-05-19,New York,New York City Criminal Court,67,Female,Asian,High,426049,Fraud,Medium,1,No,Rural,11679,389,0
CASE_4043,USA,2023-02-11,California,Superior Court of California,20,Female,Hispanic,High,159680,Fraud,High,0,Yes,Urban,50473,225,1
CASE_4044,USA,2023-06-15,New York,New York City Criminal Court,67,Female,Hispanic,Low,18821,Assault,Medium,0,Yes,Urban,12353,412,1
CASE_4045,USA,2023-05-13,New York,New York City Criminal Court,54,Male,White,High,170732,Assault,High,1,Yes,Urban,85333,203,0
CASE_4046,USA,2023-12-26,Arizona,Maricopa County Superior Court,64,Female,Black,Low,26557,Assault,Medium,3,No,Rural,38042,388,1
CASE_4047,USA,2022-03-21,California,Superior Court of California,57,Female,Native American,High,160809,Fraud,Low,5,Yes,Urban,834,273,1
CASE_4048,USA,2023-09-29,Illinois,Cook County Circuit Court,37,Male,Hispanic,Medium,51611,Assault,High,2,Yes,Urban,114296,87,0
CASE_4049,USA,2022-01-19,Arizona,Maricopa County Superior Court,49,Female,Black,High,92051,Fraud,Medium,3,No,Urban,21319,289,1
CASE_4050,USA,2022-12-30,California,Superior Court of California,49,Male,Native American,High,360109,Fraud,Medium,1,Yes,Rural,22769,9,1
CASE_4051,USA,2023-12-02,California,Superior Court of California,65,Female,Native American,Low,28279,Fraud,High,5,No,Rural,40985,278,0
CASE_4052,USA,2023-04-19,New York,New York City Criminal Court,29,Male,Asian,Medium,41970,Fraud,Medium,2,No,Rural,22124,170,1
CASE_4053,USA,2023-05-19,California,Superior Court of California,50,Female,Asian,High,171640,Theft,High,1,Yes,Urban,138115,21,1
CASE_4054,USA,2022-10-08,Illinois,Cook County Circuit Court,22,Male,Asian,Low,23662,Theft,High,2,Yes,Rural,111850,169,0
CASE_4055,USA,2023-09-29,Texas,Harris County District Court,28,Female,Native American,Low,24211,Assault,High,0,No,Urban,139490,309,1
CASE_4056,USA,2023-01-09,Arizona,Maricopa County Superior Court,67,Female,Hispanic,Low,17264,Assault,Low,0,No,Rural,5155,245,1
CASE_4057,USA,2022-05-23,Arizona,Maricopa County Superior Court,60,Male,Asian,Low,16888,WhiteCollar,High,1,No,Urban,141357,380,0
CASE_4058,USA,2023-06-20,New York,New York City Criminal Court,38,Female,Black,Medium,42254,WhiteCollar,Medium,0,Yes,Urban,25809,327,1
CASE_4059,USA,2022-07-28,Arizona,Maricopa County Superior Court,32,Female,Native American,Low,33507,Fraud,Low,0,Yes,Urban,3460,142,1
CASE_4060,USA,2024-02-12,New York,New York City Criminal Court,34,Female,Asian,Low,30276,WhiteCollar,Medium,3,Yes,Urban,26551,182,0
CASE_4061,USA,2023-08-15,California,Superior Court of California,55,Female,Hispanic,Medium,49627,Theft,High,0,No,Urban,128657,322,0
CASE_4062,USA,2022-12-28,Arizona,Maricopa County Superior Court,68,Male,White,Medium,67701,Assault,High,1,No,Urban,48807,175,0
CASE_4063,USA,2023-09-09,New York,New York City Criminal Court,48,Male,Hispanic,Medium,76895,Assault,Low,0,Yes,Rural,4531,326,1
CASE_4064,USA,2023-12-11,California,Superior Court of California,58,Male,Black,Low,21975,Theft,High,2,Yes,Rural,151022,459,1
CASE_4065,USA,2023-04-29,Illinois,Cook County Circuit Court,37,Male,Hispanic,Medium,47751,Fraud,Low,4,No,Rural,5730,203,0
CASE_4066,USA,2022-10-26,Arizona,Maricopa County Superior Court,22,Male,Asian,Medium,53583,Fraud,Low,3,Yes,Urban,4227,130,1
CASE_4067,USA,2023-11-03,Illinois,Cook County Circuit Court,39,Female,Native American,Low,24384,Fraud,Low,2,No,Rural,1863,131,1
CASE_4068,USA,2022-10-06,Arizona,Maricopa County Superior Court,31,Male,White,Medium,45744,Assault,High,0,Yes,Urban,50803,306,1
CASE_4069,USA,2022-02-14,Illinois,Cook County Circuit Court,25,Male,Native American,High,450732,Theft,Medium,5,No,Urban,11266,79,0
CASE_4070,USA,2022-11-17,California,Superior Court of California,19,Male,Asian,Low,25023,Fraud,High,5,No,Rural,47142,257,0
CASE_4071,USA,2023-10-25,Texas,Harris County District Court,58,Male,Hispanic,Medium,44142,Theft,Low,1,No,Rural,1897,425,1
